,Total US,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities,Argentina,Austria,Belgium,Chile,Germany,Denmark,East Asia & Pacific,Spain,France,"Hong Kong SAR, China",Indonesia,India,Israel,Japan,Mexico,New Zealand,Finland
1976-12-31,2.79760383,9.522478959999997,12.970223470000004,22.670255600000008,21.82758051,31.66965418,9.522478959999997,23.517235189999997,-10.99792332,-21.897923323,11.202076680000001,-20.706585512,-21.29216705,-20.07,-12.650881739999999,-16.752925345999998,-16.752925345999998,-16.752925345999998,12.46128001,-19.325541713,-20.58,-35.23,-28.04,-36.28,-13.40341718,-13.03124961,-4.439999999999998,-12.1784345,-23.999401198,-12.1784345,-6.831104610000001,-12.33,-15.082657352,-18.694504946,-8.899999999999999,2.6700000000000017,12.570000000000004,,30.3,-0.33999999999999986,-0.41999999999999815,22.7,-2.379999999999999,-30.34,,-4.441658739999998,-11.34471058,,,,-21.897923323,11.202076680000001,-0.7979233199999989,9.002076679999998,-5.89792332,-10.99792332,-21.897923323,11.002076679999998,1.5020766800000018,11.202076680000001,10.302076680000003,,-8.309999999999999,-19.259999999999998,,-19.81,-6.629999999999999,,-51.41,-46.08,20.74,,,,3.879999999999999,,46.50999999999999,-5.52
1977-12-31,3.5969648560000005,4.524109921,8.989884399000001,12.778821544,23.38149637,23.73557603,4.524109921,30.03258528,3.302715655,-1.697284344999999,5.302715655,30.65504889,25.94380557,30.05,81.38827837000001,58.05465464,58.05465464,58.05465464,30.18820118,-4.99479042,20.67,27.919999999999998,30.279999999999998,17.5,17.300645104,12.772421822,11.04,10.785463259,15.734431137999998,10.785463259,7.698554838,10.52,11.666265855,12.955495054,-0.9500000000000002,5.5600000000000005,23.0,,30.13,3.5700000000000003,12.219999999999999,8.95,21.35,31.529999999999998,,11.041109197,12.564008792,,,,-1.697284344999999,5.302715655,-15.69728435,3.802715655,-7.697284349999999,3.302715655,-1.697284344999999,-3.49728435,2.5027156550000003,9.602715655,17.402715655,,7.28,17.43,,29.86,7.53,,,9.88,-2.0599999999999996,,,,-80.14999999999999,,,200.29
1978-12-31,1.4282747599999999,0.12219151200000056,2.7127653009999992,2.887935743,11.372580349999998,12.48342099,0.12219151200000056,4.11396369,-1.1000000000000005,2.5999999999999996,5.199999999999999,29.55200559,26.58076731,28.4,59.019796750000005,47.1947872,47.1947872,47.1947872,10.473474170000001,14.997392889999999,17.92,30.67,30.770000000000003,24.729999999999997,4.249919609999999,-0.5217323479999996,-5.61,-3.8632587860000003,3.780638722999999,-10.43524,-7.537177086,-4.220000000000001,-2.2663057730000005,1.2036067539999982,0.8399999999999999,2.539999999999999,10.290000000000001,,21.299999999999997,-0.5800000000000001,-2.2900000000000005,2.9000000000000004,42.480000000000004,18.08,,-5.613317939000001,-2.7168230950000005,,,,2.5999999999999996,5.199999999999999,-5.300000000000001,3.299999999999999,-6.2,-1.1000000000000005,2.5999999999999996,-0.8000000000000007,7.9,-0.5,-11.9,109.75999999999999,,15.63,,22.659999999999997,1.5199999999999996,,,56.59,16.92,,,,52.940000000000005,,,28.620000000000005
1979-12-31,4.803514379999999,2.2354819399999997,14.235528940000002,11.678026679999999,24.81437126,17.12974052,2.2354819399999997,17.547576300000003,-14.0,5.0,26.9,-13.759329475000001,-13.294235188,-14.54,-19.145760685,-15.737466361,-15.737466361,-15.737466361,9.720849860000001,-14.749648745,20.520000000000003,75.77,113.28,14.82,-12.184019196000001,-11.789191733,-20.18,-11.570287539999999,-8.219560878,-19.57055,-18.73341339,-16.29,-11.785855119,-7.69927066,5.629999999999999,15.0,32.5,,22.53,-4.460000000000001,-11.8,4.600000000000001,-21.73,-3.5999999999999996,,-20.180383159,-12.801005317000001,-12.53603,,,5.0,26.9,14.0,2.0,-9.3,-14.0,5.0,-0.10000000000000142,-13.0,-18.9,-3.9000000000000004,122.61000000000001,-106.08,-8.19,,-23.13,-16.92,665.58,-21.07,3.75,53.84,,,,727.44,,44.2,-13.59
1980-12-31,0.5880191700000026,-7.773079229999997,0.3355289400000032,-14.535725079999999,6.423353290000001,-6.750299399999992,-7.773079229999997,-7.822601239999997,-17.099999999999998,-1.1999999999999993,42.00000000000001,-8.940510879999998,-9.410240779999999,-12.95,3.0606456100000017,-5.517063689999997,-5.517063689999997,-5.517063689999997,-8.10207865,-3.9362055599999977,19.92,8.370000000000005,-19.619999999999997,-21.64,-21.987285256,-23.817309873999996,-32.26,-25.470287539999998,-16.73033932,-42.24959,-35.032461125,-29.5,-25.016883153,-20.70007993,7.390000000000001,13.18,20.1,,-2.16,-9.32,-20.019999999999996,-9.299999999999997,4.130000000000003,-17.7,,-32.258894681,-24.308635803999998,-28.509189999999997,,,-1.1999999999999993,42.00000000000001,-4.599999999999998,7.800000000000004,-14.399999999999999,-17.099999999999998,-1.1999999999999993,-15.0,-15.099999999999998,-29.0,-15.5,-40.349999999999994,-37.87,-58.849999999999994,,-41.58,-25.09,5.160000000000004,-36.64,-33.05,43.669999999999995,,,57.440000000000005,-0.7399999999999984,-60.879999999999995,-23.38,-10.979999999999997
1981-12-31,1.3461661340000002,6.277629216,7.395608782,15.045974501,6.996407186,19.870658680000002,6.277629216,10.925114702000002,22.4,8.3,-18.7,4.820834165,4.1109801180000005,10.89,4.930995317,9.455955347,9.455955347,9.455955347,9.399044568,68.13965232,-6.079999999999999,5.37,-27.570000000000004,-18.38,14.196103197,14.722786292000002,8.08,15.823003190000001,10.988423154,-2.1986,5.374212636,9.56,15.374086510000001,19.79686282,-6.29,3.25,-4.180000000000001,,12.95,8.1,13.870000000000001,22.0,13.23,-5.430000000000001,,8.079876421,16.51721411,14.631499999999999,,,8.3,-18.7,-3.8,-7.3,11.0,22.4,8.3,15.399999999999999,-10.5,39.6,13.8,-59.5,-13.84,-11.379999999999999,,-7.53,16.56,16.95,5.88,-24.990000000000002,5.12,,34.2,50.160000000000004,15.41,15.530000000000001,-17.05,38.56
1982-12-31,-0.29297124999999724,-1.1634204699999984,2.153892220000003,8.36042171,3.7506985999999998,7.343512970000003,-1.1634204699999984,0.38465988000000095,16.0,0.40000000000000213,-33.8,-22.047475554,-21.889109801,-21.959999999999997,-21.228783501,-22.325296521,-22.325296521,-22.325296521,-5.223373979999998,18.906568730000004,-36.68,16.870000000000005,-5.339999999999998,-10.169999999999998,-0.7340612399999991,1.664964900000001,18.21,4.299680510000002,-28.684431137999997,10.16497,20.580236290000002,14.259999999999998,2.994607130000002,-10.49936058,-0.6600000000000001,-0.6600000000000001,-0.13999999999999702,,6.690000000000001,3.650000000000002,2.400000000000002,0.8000000000000007,-27.4,-15.469999999999999,,18.20528411,4.216724200000002,6.598550000000003,,,0.40000000000000213,-33.8,-11.999999999999998,0.8000000000000007,27.0,16.0,0.40000000000000213,3.0,32.6,-7.399999999999999,7.5,-51.22,-25.57,-18.56,,-10.719999999999999,-31.06,-30.619999999999997,-53.94,-43.15,-65.25999999999999,,13.100000000000001,107.46000000000001,-21.029999999999998,-16.56,49.4,-12.879999999999999
1988-12-31,1.5915016000000008,6.70955498,3.340878240000002,8.131297410000002,8.4306986,13.02151697,6.70955498,-3.014334729999998,3.200000000000003,-3.5999999999999996,5.150000000000002,13.86381561,12.264364070000003,13.52,9.25573976,23.71820393,23.71820393,23.71820393,1.20520286,38.71656005,4.400000000000002,-2.049999999999999,-31.63,10.760000000000002,-4.189179609999998,-7.289999999999999,-7.0699999999999985,-8.87,2.4426746500000007,-6.2181799999999985,-7.06814,-10.86,-10.818792289999998,-9.04,-5.159999999999998,-3.549999999999999,3.9400000000000013,3.2699999999999996,3.9299999999999997,-0.10999999999999943,-2.6099999999999994,12.48,18.620000000000005,-0.11999999999999744,-30.409999999999997,-7.072942014999999,-9.269389999999998,-2.6661899999999985,-3.9799999999999986,-10.61,12.18,4.800000000000001,-6.399999999999999,-4.199999999999999,8.200000000000003,3.200000000000003,-3.5999999999999996,0.7000000000000028,-19.0,4.700000000000003,-1.4999999999999982,63.769999999999996,10.130000000000003,24.93,,-1.3899999999999988,15.950000000000003,21.410000000000004,11.650000000000002,27.050000000000004,21.380000000000003,,-27.22,-71.46000000000001,22.759999999999998,169.4,51.739999999999995,25.410000000000004
1989-12-31,-2.6659105399999987,-6.434835360000001,-5.312095809999999,-8.904910179999998,-15.39193613,-19.1843513,-6.434835360000001,-22.842146419,16.6,11.200000000000003,12.090000000000003,-12.69107164,-20.65963033,-16.96,-1.0720653599999999,33.09729093999999,33.09729093999999,33.09729093999999,-20.304377719999998,-4.762290950000001,-13.939999999999998,23.71,-34.5,5.890000000000001,-21.368270906,-27.419999999999998,-17.35,-17.72,-25.471776447,-21.35679,-13.427329999999998,-18.02,-20.39360655,-22.490000000000002,4.240000000000002,-0.120000000000001,-11.399999999999999,-7.259999999999998,-26.65,-9.759999999999998,-10.43,-16.34,-28.95,-2.59,-0.9600000000000009,-17.35377474,-19.90517,-29.469369999999998,-19.82,-24.28,1.5900000000000034,8.700000000000003,-9.2,-4.800000000000001,-10.3,16.6,11.200000000000003,1.7000000000000028,-37.6,29.9,6.200000000000003,-6.079999999999998,110.52999999999999,-3.9899999999999984,,14.21,18.259999999999998,-11.849999999999998,3.5600000000000023,20.35,-27.119999999999997,757.97,-53.36,20.46,-18.92,17.549999999999997,46.8,-11.73
1990-12-31,-2.830159744,-4.98173618,-8.35664671,-12.94746507,-16.34067864,-18.63608782,-4.98173618,-12.29938959,20.9,17.3,1.9499999999999997,-18.16273798,-19.94905785,-18.65,-14.922502739999999,-7.57404964,-7.57404964,-7.57404964,-13.765226689999999,-26.500367600000004,-12.459999999999999,7.789999999999999,-0.03000000000000025,31.44,7.360595035999999,9.02,10.3,11.97,9.308023952000001,10.51799,9.10015,12.73,12.926166712,11.26,2.8,-1.9700000000000002,-14.239999999999998,-10.73,-28.47,0.5099999999999998,7.08,-12.18,-31.14,-0.33000000000000007,-16.54,10.298882962,12.54988,-2.5256000000000003,10.14,9.89,20.11,6.699999999999999,-8.5,-3.4,-10.9,20.9,17.3,-18.3,5.4,-12.1,2.5999999999999996,16.37,11.8,-9.27,,0.6199999999999997,0.4299999999999997,-27.41,-5.8100000000000005,-4.51,10.82,262.43,82.32,3.87,-27.94,-18.169999999999998,54.910000000000004,-19.509999999999998
1991-12-31,4.264824279999999,-5.8935182600000005,10.997564869999998,7.404750499999999,15.588383229999998,11.197165670000004,-5.8935182600000005,5.128094949999998,17.800000000000004,21.6,-29.939999999999998,-10.872564359999998,-17.821158959999998,-20.369999999999997,-24.780127527999998,29.15406558,29.15406558,29.15406558,1.127930120000002,-22.115483392999998,-3.1999999999999993,0.25,-39.01,-37.05,-14.652593439999999,-19.52,-11.799999999999997,-14.969999999999999,-14.551337329999999,-18.05878,-12.78989,-15.61,-18.64924257,-24.49,10.670000000000002,16.490000000000002,20.68,11.630000000000003,16.75,-6.57,-8.649999999999999,-1.6699999999999982,-19.86,-18.11,-25.849999999999998,-11.7956617,-17.14222,-1.211669999999998,-16.72,-23.02,16.1,25.200000000000003,-5.5,-1.0,-1.5999999999999979,17.800000000000004,21.6,19.4,-18.0,-16.4,-6.5,385.36,-38.15,-21.57,,-25.91,-15.549999999999999,-24.16,2.4100000000000037,-15.299999999999999,15.939999999999998,-45.81,-21.22,42.55,-27.59,-42.76,120.11000000000001,-24.74
2005-12-31,1.2100000000000009,2.3200000000000003,9.16,7.8547505,2.5900000000000007,1.3000000000000007,-1.9541271699999996,7.120000000000001,-0.8699999999999997,3.4307995360000003,34.28,10.8,8.83,8.57,15.719999999999999,27.279999999999998,23.75,27.279999999999998,8.040000000000001,5.56399813,11.88372837,21.10049765,12.7,19.85,6.690000000000001,0.47000000000000064,-3.5599999999999996,-2.3699999999999997,-2.1799999999999997,-2.5309899999999996,1.8389500000000005,-2.4499999999999997,-2.9999999999999996,-1.9999999999999996,0.3200000000000003,10.02,3.870000000000001,5.52,-0.6899999999999995,2.0500000000000007,-1.2899999999999996,0.22000000000000064,17.82,4.49,39.019999999999996,-3.5575253219999996,-2.57216,-2.0001399999999996,-1.6999999999999997,-3.1199999999999997,10.64,26.5,-0.1999999999999993,-2.8999999999999995,-10.0,-1.3999999999999995,1.1000000000000005,1.5,-5.1,-9.3,9.700000000000001,12.469999999999999,39.06,0.8100000000000005,11.969999999999999,-4.13,34.790000000000006,17.21,-2.7199999999999998,8.02,17.7,6.390000000000001,37.83,28.680000000000003,23.77,62.86,34.739999999999995,28.23
2006-12-31,-0.13000000000000078,6.509999999999998,-2.040000000000001,1.9448303399999993,0.0,3.599999999999998,3.8002476499999993,19.43,0.129999999999999,-9.096225950000001,3.2399999999999984,11.0,10.629999999999999,14.32,14.7,13.75,16.06,13.75,17.322499999999998,28.090243530000002,15.25309047,4.096797509999998,6.689999999999998,-31.36,-5.550000000000001,-12.620000000000001,-11.38,-11.370000000000001,-15.21,-11.21155,-13.896690000000001,-12.5,-11.870000000000001,-11.09,-6.630000000000001,-6.190000000000001,-3.700000000000001,-1.370000000000001,-4.16,-0.6699999999999999,-4.360000000000001,3.710000000000001,-3.6500000000000004,17.78,18.659999999999997,-11.376233281000001,-10.64943,-7.403510000000001,-10.48,-12.38,-4.770000000000001,8.5,3.0,-2.3000000000000007,2.8000000000000007,-2.200000000000001,-8.100000000000001,4.0,-7.7,21.299999999999997,6.099999999999998,-7.970000000000001,37.05,21.689999999999998,12.149999999999999,20.58,-0.41999999999999993,10.27,22.18,22.450000000000003,46.91,54.92,32.42,16.3,-14.74,0.5700000000000003,30.03,8.36
2007-12-31,0.10000000000000053,-5.3,0.6299999999999999,-9.950878244,-4.2299999999999995,-12.46,0.14000000000000057,-21.85,7.4799999999999995,2.484190327000001,29.39,10.129999999999999,5.760000000000001,0.4500000000000002,-0.23999999999999932,33.51,36.22,33.51,-13.855,-6.696115274,22.85690231,10.12041644,25.56,25.07,0.6600000000000001,-1.2999999999999998,-1.0899999999999999,1.5300000000000002,6.2,-1.9631499999999997,3.853930000000001,4.590000000000001,2.5,-0.7399999999999993,7.170000000000001,11.68,4.240000000000001,-1.0599999999999996,-10.79,2.95,0.22000000000000064,-8.69,-0.6099999999999994,8.43,30.740000000000002,-1.0936803499999996,0.4711500000000006,-3.3466199999999997,-2.8499999999999996,-1.1999999999999993,-0.9699999999999998,28.9,16.4,6.3,-18.4,7.7,1.7000000000000002,-24.1,11.5,6.000000000000001,12.5,5.990000000000001,17.27,-8.07,16.68,23.16,0.10000000000000053,39.44,30.659999999999997,7.46,49.39,47.03,116.76,39.95,-11.53,29.15,8.79,-11.39
