Year,Inflation,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities,goldman_Energy,goldman_Materials,goldman_Industrials,goldman_Consumer Discretionary,goldman_Consumer Staples,goldman_Health Care,goldman_Financials,goldman_Information Technology,goldman_Telecom Services,goldman_Utilities,S
1993,1.027484,1.104433,1.0989,1.1809020000000001,1.140719,1.153693,1.187,1.235529,1.1809020000000001,1.193896,0.9319,0.9399,1.2652,1.388795,1.3278050000000001,1.3935,1.338946,1.742251,1.742251,1.742251,1.242621,1.5616349999999999,1.4372,1.5407,1.1739,0.8702,1.196895,1.1363,1.1208,1.0968,1.154691,1.115527,1.16787,1.1143,1.0641,1.0286,1.0153,1.1098,1.1317,1.1449,1.2465,1.1352,1.1465,1.1937,1.3546,1.2913000000000001,1.9336,1.120796,1.070665,1.182402,1.1345,1.0382,1.1181,1.1259000000000001,1.1439,1.1949,1.2048999999999999,0.9319,0.9399,1.1099,1.1959,1.1479,1.1339000000000001,1.027,1.045,1.096,1.106,0.833,0.841,1.011,1.097,1.049,1.035,
1994,1.026749,0.9983,1.0118,0.9927,0.977046,0.977046,0.9949,0.983034,0.9927,1.029324,1.0568,1.1318,0.9837,1.055578,1.080028,1.1059,1.154827,0.923951,0.923951,0.923951,1.035887,1.060654,0.9372,1.2207,0.9759,1.0451,0.8067,0.9513,0.96,0.9734,1.02994,0.978783,0.929618,0.9567,0.9942,1.0381,1.0289,0.976,0.9741,0.9824,0.963,0.9951,0.9556,0.9985,1.1304,1.0188,0.9458,0.960003,0.999189,0.982874,0.9425,1.017,1.0954,1.0248,1.0518,0.9708,0.9278,1.0568,1.1318,0.9658,1.1968,0.9538,0.8838,1.013,1.04,0.959,0.916,1.045,1.12,0.954,1.185,0.942,0.872,
1995,1.025384,1.3578999999999999,1.3745,1.3694,1.341317,1.346307,1.2873999999999999,1.255489,1.3694,1.15001,1.3675,1.5845,1.2532,1.097027,1.114997,1.1082,1.022816,1.002292,1.002292,1.002292,1.1367639999999999,1.2015259999999999,1.2102,1.0817,1.0073,1.1944,1.2638,1.1712,1.2216,1.1818,1.005988,1.136447,1.300932,1.2044000000000001,1.1211,1.0549,1.3806,1.3373,1.3074,1.338,1.295,1.3292,1.2891,1.3014999999999999,1.0275,1.2227999999999999,0.9552,1.221603,1.127356,1.191529,1.1872,1.0592,1.4517,1.3025,1.1735,1.3965,1.2205,1.3675,1.5845,1.5365,1.3845,1.4104999999999999,1.3135,0.9279999999999999,0.7989999999999999,1.022,0.846,0.993,1.21,1.162,1.01,1.036,0.9390000000000001,
1996,1.033225,1.2096,1.2288000000000001,1.2186,1.187625,1.212176,1.1812,1.211577,1.2186,1.349491,1.2448000000000001,1.2208,1.34,1.075778,1.063043,1.084,1.040151,1.1583,1.1583,1.1583,1.281063,1.4215,1.1122,1.0877,0.9521,1.3292,1.3891,1.1188,1.0321,1.0358,1.038922,1.041965,0.987458,1.0192,1.0439,1.0509,1.2374,1.1869,1.1108,1.1764999999999999,1.1629,1.1619,1.0942,1.2636,0.9218,1.2126000000000001,0.9925,1.03212,1.047881,1.095444,1.0441,1.0369,1.2136,1.2568,1.1338,1.2478,1.1378,1.2448000000000001,1.2208,1.3618000000000001,1.4218,1.0068,1.0408,1.028,0.905,1.019,0.909,1.016,0.992,1.133,1.193,0.778,0.812,
1997,1.017024,1.3099,1.3319,1.2977,1.287425,1.368064,1.2459,1.315369,1.2977,1.18462,1.3669,1.4109,1.1489,0.990122,1.020082,1.0107,0.8555349999999999,0.8318,0.8318,0.8318,1.135995,1.103243,0.8788009999999999,0.9487,0.7836,0.8529,1.1261999999999999,1.1069,1.1016,1.0944,1.077844,1.070815,1.1390419999999999,1.0896,1.0639,1.0512,1.3634,1.2036,1.1267,1.2673,1.2154,1.2323,1.2019,1.2197,0.7433,1.2423,0.6108,1.101567,1.06946,1.119073,1.0929,1.0407,1.2857,1.2459,1.0779,1.2749,1.2939,1.3669,1.4109,1.4939,1.2789,1.4049,1.2479,0.914,0.746,0.943,0.962,1.035,1.079,1.162,0.947,1.073,0.916,
1998,1.016119,1.2326000000000001,1.2862,1.1464,1.098802,1.013174,0.9739,0.933134,1.1464,0.8368,1.2292,1.4142000000000001,0.7947,1.156,1.201918,1.1721,1.2598,0.8188,0.8188,0.8188,0.9166,1.120598,1.042031,0.8936999999999999,0.9893,0.6378,0.8525,1.1187,1.085,1.0858,1.025948,1.057597,1.130512,1.1061,1.0735999999999999,1.05,1.4221,1.1703000000000001,1.01,1.0832,0.9819,1.1206,1.1184,1.0081,1.0241,1.2886,0.9609,1.08497,1.065673,1.05618,1.0602,1.0432,1.408,1.0252,0.9152,1.0952,1.3312,1.2292,1.4142000000000001,1.0912,1.7711999999999999,1.5162,1.1442,0.739,0.629,0.8089999999999999,1.045,0.943,1.1280000000000001,0.8049999999999999,1.4849999999999999,1.23,0.858,
1999,1.026846,1.2381,1.2107,1.1257,1.150898,1.01996,1.2313,1.031437,1.1257,0.9596,0.9837,0.9067000000000001,1.2098,1.2992,1.271855,1.2363,1.9029,1.6157,1.6157,1.6157,1.0445,1.630174,1.192384,1.6077,1.006,1.3987,1.2557,1.0196,0.9732,0.9924,1.076846,0.994971,0.913415,0.9648,1.0185,1.0455,1.2876,1.7019,1.1956,1.3622,1.3149,1.0441,0.9586,1.1157,1.5705,1.1662,1.2882,0.973219,1.03304,1.025515,0.9647,1.0258,1.0705,1.1507,1.3007,1.1907,1.2097,0.9837,0.9067000000000001,1.0377,1.7747,1.1967,0.9027000000000001,0.94,1.09,0.98,0.999,0.773,0.696,0.827,1.564,0.986,0.692,
2000,1.033868,0.8943,0.9094,1.0608,1.181,1.222255,0.9733,1.2187999999999999,1.0608,1.2635,1.0564,1.3824,1.3643,0.8439,0.856329,0.9647,0.9732,0.7243999999999999,0.7243999999999999,0.7243999999999999,1.1586,0.774201,0.881274,0.9937,0.9432,1.4863,1.1526,1.0895,1.1021,1.1139000000000001,1.045908,1.092414,1.197222,1.1402999999999999,1.0883,1.058,0.7779,0.7356,1.0159,0.8445,1.0067,1.104,1.1617,1.1589,0.7426,0.9182,0.9266,1.102114,1.081738,0.991203,1.1332,1.0491,1.6053000000000002,1.2004,0.8214,1.0394,0.7574,1.0564,1.3824,1.2594,0.6154,0.6204000000000001,1.5844,1.291,0.912,1.13,0.848,1.147,1.4729999999999999,1.35,0.706,0.7110000000000001,1.675,
2001,1.015517,0.8903,0.8798,0.8812,0.995,1.085729,1.031,1.137,0.8812,1.1235,0.9668,0.8778,0.9745,0.7985,0.779898,0.8115,0.7748,0.9712,0.9712,0.9712,1.04225,0.7697,1.018953,1.2867,1.005,0.6756,0.988,1.0612,1.0945,1.0843,1.073952,1.050543,1.04308,1.0755,1.078,1.0399,0.8707,0.7941,0.9922,0.9087,1.2398,1.0419,1.0739,1.0572,0.7365999999999999,0.7969999999999999,1.1833,1.094476,1.081385,1.029038,1.0454,1.0475,0.9313,0.8898,1.0328,0.9248000000000001,1.0448,0.9668,0.8778,0.9097999999999999,0.7498,0.8758,0.6778,1.01,1.153,1.045,1.165,1.087,0.998,1.03,0.87,0.996,0.798,
2002,1.023769,0.7904,0.7785,0.7908999999999999,0.8539,0.901297,0.7998000000000001,0.858,0.7908999999999999,1.0375,0.9335,0.8075,0.9938,0.8492,0.8438,0.8376,0.8612,0.9257,0.979,0.9257,0.990425,0.70521,0.988388,0.9127,1.2526,1.3109,1.1384,1.0666,1.1118999999999999,1.0826,1.1661,1.079125,1.166739,1.1415,1.0802,1.0151,0.7632,0.7652,0.8459,0.8194,1.049,0.931,1.0464,0.7775,0.9068,0.8205,1.3335,1.111938,1.052189,1.017349,1.1011,1.0349,0.8864,0.8375,0.9245,0.7415,0.7395,0.9335,0.8075,0.8585,0.6315,0.6615,0.7855,1.059,1.146,0.963,0.961,1.155,1.029,1.08,0.853,0.883,1.007,
2003,1.018795,1.3135,1.285,1.3225,1.3414,1.376347,1.4563000000000001,1.3719,1.3225,1.3565,1.157,1.149,1.338,1.4034,1.3867,1.4472,1.5737,1.5765,1.5976,1.5765,1.368225,1.673781,1.552675,1.1547,1.1959,1.1982,1.2242,1.0225,1.0889,1.0397,1.08,1.044595,1.026767,1.0237,1.0238,1.0082,1.2592,1.3998,1.4288,1.4343,1.8098,1.2075,1.0966,1.3700999999999999,1.3842,1.387,1.5945,1.088925,1.042013,1.171972,1.0521,1.0164,1.2658,1.26,1.3820000000000001,1.322,1.353,1.157,1.149,1.32,1.467,1.068,1.24,0.975,1.097,1.037,1.068,0.872,0.864,1.035,1.182,0.783,0.955,
2004,1.032556,1.1252,1.1074,1.1529,1.2035,1.2691620000000001,1.199,1.2355,1.179368,1.3076,1.0824,1.0184,1.3665,1.2084,1.2025000000000001,1.2384,1.3176999999999999,1.2612,1.2409,1.2612,1.2828,1.353167,1.294055,1.4362080000000002,1.0439,1.164,1.1137,1.0508,1.0591,1.0424,1.0827,1.032292,1.071197,1.034,1.0103,1.01,1.072,1.1359,1.1606,1.1871,1.1909,1.1117,1.0757,1.1338,1.1883,1.2086000000000001,1.0809,1.05906,1.021124,1.085157,1.0412,1.0112,1.0951,1.3114,1.1354,1.1864,1.1094,1.0824,1.0184,1.1024,1.0444,1.1914,1.2024,1.204,1.028,1.079,1.002,0.975,0.911,0.995,0.937,1.084,1.095,
2005,1.034157,1.0598,1.0477,1.0709,1.1393,1.126248,1.0735999999999999,1.0607,1.028159,1.1189,1.039,1.082008,1.3904999999999998,1.1557,1.1360000000000001,1.1334,1.2048999999999999,1.3205,1.2852000000000001,1.3205,1.1280999999999999,1.10334,1.166537,1.258705,1.1747,1.2462,1.1146,1.0524,1.0121,1.024,1.0259,1.02239,1.06609,1.0232,1.0177,1.0277,1.0509,1.1479,1.0864,1.1029,1.0408,1.0682,1.0348,1.0499,1.2259,1.0926,1.4379,1.012125,1.021978,1.027699,1.0307,1.0165,1.1541000000000001,1.3127,1.0457,1.0187,0.9477,1.0337,1.0587,1.0627,0.9967,0.9547,1.1447,1.2650000000000001,0.998,0.971,0.9,0.986,1.011,1.015,0.949,0.907,1.097,
2006,1.025407,1.1551,1.1564,1.2215,1.1360000000000001,1.175848,1.1564,1.1924,1.194402,1.3507,1.1577,1.0654379999999999,1.1888,1.2664,1.2627,1.2996,1.3034,1.2939,1.317,1.2939,1.329625,1.437302,1.308931,1.197368,1.2233,0.8428,1.1009,1.0302,1.0426,1.0427,1.0043,1.044284,1.017433,1.0314,1.0377,1.0455,1.0901,1.0945,1.1194,1.1427,1.1148,1.1497,1.1128,1.1935,1.1199,1.3342,1.343,1.042638,1.049906,1.082365,1.0516,1.0326,1.1087,1.2414,1.1864,1.1334,1.1844000000000001,1.1344,1.0754,1.1964000000000001,1.0794,1.3694,1.2174,1.085,1.03,0.977,1.028,0.978,0.919,1.04,0.923,1.213,1.061,
2007,1.040813,1.0549,1.0539,1.0009,1.0602,0.954391,1.0116,0.9293,1.0553,0.8354,1.1287,1.078742,1.3477999999999999,1.1552,1.1115,1.0584,1.0515,1.389,1.4161,1.389,0.91535,0.986939,1.282469,1.1551040000000001,1.3094999999999999,1.3046,1.0605,1.0409,1.043,1.0692,1.1159,1.034268,1.092439,1.0998,1.0789,1.0465,1.1256,1.1707,1.0963,1.0433,0.946,1.0834,1.0561,0.967,1.0478,1.1381999999999999,1.3613,1.042963,1.058612,1.020434,1.0254,1.0419,1.0442,1.3429,1.2179,1.1169,0.8699,1.1309,1.0709,0.8129,1.1689,1.1139000000000001,1.1789,1.289,1.164,1.063,0.8160000000000001,1.077,1.017,0.759,1.115,1.06,1.125,
2008,1.000914,0.6295999999999999,0.6297999999999999,0.6403000000000001,0.5818,0.6335999999999999,0.6393,0.6795,0.7343999999999999,0.6295,0.83,0.76656,0.6071,0.5589999999999999,0.5872999999999999,0.5608,0.5338,0.4719,0.4112,0.4719,0.47899900000000006,0.530983,0.520001,0.623917,1.0545,0.5253,0.97873,1.0557,0.9301,1.0505,0.9715,0.99861,1.225155,1.1332,1.0668,1.0197,0.6168,0.5293,0.6,0.6127,0.6051,0.777,0.9016,0.589,0.6564,0.5527,0.43979999999999997,0.9301349999999999,0.952558,0.787109,0.9513,1.0374,0.8155,0.6438,0.5438000000000001,0.6008,0.6588,0.8598,0.7658,0.4468,0.5628,0.6898,0.7028000000000001,1.014,0.914,0.971,1.029,1.23,1.1360000000000001,0.817,0.933,1.06,1.073,
2009,1.027213,1.287,1.2649,1.1958,1.4022000000000001,1.3761,1.3612,1.3034,1.1915,1.2958,1.1695,1.218212,1.2496,1.3673,1.2827,1.3381,1.4712,1.7598,1.947932,1.542796,1.416573,1.5541610000000001,1.681574,1.5162849999999999,1.2345,1.1514,1.153734,1.0425,1.213,1.0593,1.108,1.102162,0.879515,0.9831,1.0144,1.0053,1.3629,1.4254,1.4185,1.3743,1.2595,1.222,1.1602000000000001,1.3469,1.2118,1.3191,1.7646,1.213018,1.140269,1.390876,1.1408,1.0307,1.2096,1.1409,1.4839,1.2128999999999999,1.4239,1.1379,1.1919,1.1609,1.6209,1.0839,1.1159,0.876,1.2189999999999999,0.948,1.159,0.873,0.927,0.896,1.356,0.819,0.851,
2010,1.014957,1.1709,1.1491,1.1428,1.2546,1.2163,1.2772000000000001,1.2482,1.1457,1.283,1.1442999999999999,1.055987,1.2118,1.1112,1.0836,1.0318,1.2497,1.1886,1.235405,1.338936,1.14686,1.359083,1.1532689999999999,1.369918,1.2793,1.0783,1.108382,1.0311,1.1065,1.0642,1.0617,1.021343,1.089302,1.0735,1.0264,1.0001,1.1696,1.2893,1.3069,1.2737,1.2486,1.1094,1.1065,1.1482,1.1577,1.0491,1.3745,1.106474,1.052089,1.123989,1.015,1.0095,1.0616,1.2031,1.2211,1.2641,1.2771,1.1411,1.0261,1.1211,1.1001,1.1891,1.0541,1.054,1.072,1.115,1.1280000000000001,0.992,0.877,0.972,0.951,1.04,0.905,
2011,1.029624,1.0096,1.0197,1.01,0.9789,0.9956,0.972,0.9584,1.0605,1.0847,1.1365,1.107164,1.0275,0.8544,0.8749,0.8775999999999999,0.8091,0.8082,0.698672,0.77606,0.8306560000000001,0.832053,0.884281,0.843164,1.0866,0.9675,1.076488,1.0376,1.0794,1.0756000000000001,1.1324,1.096224,1.292774,1.098,1.0226,1.0002,1.0171,0.9616,0.9842,0.9627,0.9214,1.0385,1.0963,0.96,0.86,0.884,0.783,1.0794489999999999,1.019258,1.0713219999999999,1.1069,1.016,1.1145,1.0457,0.9007000000000001,0.9927,1.0597,1.1387,1.1257,0.8277,1.0227,1.0617,1.1987,1.026,0.881,0.973,1.04,1.119,1.106,0.808,1.003,1.042,1.179,
2012,1.01741,1.1625,1.1582,1.15,1.158,1.1591,1.1804000000000001,1.1856,1.115,1.1753,1.1109,1.190203,1.0347,1.1814,1.1856,1.1752,1.1889,1.1864,1.266315,1.122779,1.431235,1.244456,1.240355,1.210069,1.0836999999999999,0.9939,1.165216,1.0628,1.1136,1.0405,1.0678,1.056957,1.034653,1.0267,1.0069,1.0002,1.1689,1.1581000000000001,1.1752,1.1831,1.1983,1.1257,1.1006,1.2078,1.1549,1.208,0.8702,1.113585,1.045248,1.143555,1.0808,1.0099,1.1511,1.0442,1.1482,1.1512,1.2372,1.1062,1.1772,1.2862,1.1461999999999999,1.1812,1.0112,0.886,0.99,0.993,1.079,0.948,1.019,1.1280000000000001,0.988,1.023,0.853,
2013,1.015017,1.3335,1.3218,1.3285,1.35,1.3742,1.3761999999999999,1.3641,1.2885,1.0231,1.2798,1.426771,1.2577,1.1503999999999999,1.2206,1.2261,1.1743999999999999,0.9480999999999999,1.019628,1.236977,1.023315,1.235456,1.018173,0.925352,0.7205999999999999,0.9796,0.92207,1.0101,0.982,0.9774,0.9108,0.984449,0.869746,0.9691,0.999,1.0001,1.3215999999999999,1.3202,1.3798,1.3819,1.5091,1.1966,1.0919,1.3608,1.1736,1.2469999999999999,0.6487,0.981975,1.009737,1.045373,0.9705,1.0048,1.4319,1.2616,1.2583,1.4043999999999999,1.4272,1.2627,1.4124,1.3537,1.2597,1.2432,1.13,,,,,,,,,,,
2014,1.007565,1.1243,1.1351,1.1305,1.1360000000000001,1.1384,1.0737,1.1039,1.0998,1.3013,1.1585,1.242235,0.9009,0.9576,0.9434,0.9435,0.9519,1.0042,0.981196,1.033058,1.022408,0.915753,0.953581,1.028039,0.9957,0.6639999999999999,1.060447,1.0883,1.0747,1.0576,1.0383,1.072462,1.252767,1.0432,1.0071,1.0001,1.1347,1.1335,1.0388,1.0742,1.0461,1.0982,1.0807,1.1182,0.9531,0.9333,0.8859,1.074653,1.017633,1.045833,1.1107,1.0065,1.2852000000000001,0.914,1.0731,1.1045,1.0949,1.1586,1.2518,1.1503,1.1775,1.0398,1.2859,,,,,,,,,,,
2015,1.007295,1.0029,1.0125,0.9897,0.9854,0.9809,0.9621999999999999,0.9522,0.9795,1.0222,1.0601,1.071199,0.7679,0.9563,0.9982,0.9411,0.9968,0.8449,0.8758779999999999,0.827843,0.981706,0.954565,0.900579,0.740003,0.8829,0.6653,1.010347,1.0104,1.0088,1.003,0.9817,1.028577,0.984629,1.015,1.0045,1.0002,1.0317,0.9887,0.9736,0.9661,0.9172,1.0006,1.0128,0.9668,1.0225,0.98,0.7058,1.008772,1.010297,0.986057,1.0397,1.0045,1.1265,0.7854,0.9142,0.9575,1.0994,1.0683,1.0686,0.984,1.0563,1.0272000000000001,0.9514,,,,,,,,,,,
2016,1.0169,1.1253,1.1182,1.1675,1.1107,1.1511,1.1817,1.2465,1.1173,1.0834,1.063,0.9668,1.2893,1.0465,1.0245,1.0487,1.0417,1.115,1.0794,1.0202,1.0201,1.0237,1.111,1.1675,1.0888,1.0992,1.0926,1.0467,1.053,1.025,1.0452,1.0008,1.012,1.0119,1.0099,1.0025,1.0599,1.0662,1.1061,1.1599,1.2147000000000001,1.1101,1.0808,1.1249,1.0519,0.992,1.5064,1.053011,1.0272000000000001,1.1118999999999999,1.0063,1.0036,0.9101,,,,,,,,,,,,,,,,,,,,,
