,oil,inflation,interest,stdev_,avg_return,median_return
Total US,0.37542375,-0.027982177,-0.350605884,2.03065196,-0.178578275,0.205
USL Value,0.117199869,0.231145078,0.120635985,5.622787837,0.271321631,-0.23933247
US Mid,0.30762626,0.132603178,-0.177713594,8.784135929,1.647769078,0.035
USM Value,0.159044217,0.111177479,-0.074436028,11.73409897,2.973574353,0.5106123
US Small,0.328507016,0.006068508,-0.296295646,10.88678164,-0.051666667,1.505
USS Value,0.124122619,0.11479976,-0.040000894,14.15816008,1.914503301,1.124261475
US Dividend Appreciation,0.094297365,0.181894557,0.157632085,6.305192942,0.478119773,-0.17933247
US REIT,0.13464592,0.138618233,-0.103554798,18.3797586,1.976028326,4.795
US Consumer Staples,-0.299918038,-0.083838448,0.238131768,10.35418614,1.728846154,1.97
US Health Care,-0.202281861,-0.148537061,0.094682918,15.52839108,2.273968003,3.050126885
US Energy,0.578303768,0.406729314,0.000118878,18.25282434,-1.069301163,-0.705
Total International,0.060854342,0.221412556,0.140393434,18.67982376,-0.037673349,-0.988824586
International Developed,0.025862557,0.168591228,0.1522085,17.68375068,-0.165338119,0.08148866
International Developed Value,0.074200294,0.256677453,0.151556434,18.88945743,0.675,-0.905
International Developed Small,0.316905016,0.276647891,0.089916688,26.1959894,4.951818502,5.68926422
Emerging Markets,0.185320732,0.308353353,0.039527594,29.97983883,3.115644987,3.670398188
Emerging Small Cap,0.189229308,0.284730156,-0.009620466,31.75192018,4.185749947,6.178869303
Frontier Markets,0.215717564,0.269408915,0.014043452,28.1873829,3.647376921,3.670398188
Global REIT,0.212347841,0.279220643,0.002169769,17.32045371,0.265588816,1.79276065
Sweden,0.374050749,0.140763514,-0.013793297,23.27546778,4.919348933,-5.567799194
Australia,0.171138898,0.194783958,0.047547393,22.54955096,0.927206784,-4.5012988
South Africa,0.25640073,0.128635949,0.056872912,25.87660001,1.748287518,0.985857125
Gold,0.007392766,-0.126231383,-0.22779442,25.53520373,-9.068461538,-8.18
Commodities,0.651948736,0.495916434,0.060815014,27.35175056,-9.107692308,-9.565
Emerging Market Bonds,0.160891122,0.080295837,0.049377317,18.63996656,-1.308467287,-0.45797169
International Bonds,-0.23162232,-0.103718578,0.099752788,17.3963909,-4.706356475,-6.45
Corporate Bonds,-0.191030498,-0.053998419,0.05431816,16.41069826,-3.275769231,-4.645
US Bonds,-0.213636323,-0.111764415,0.101889339,17.9716908,-5.084467928,-7.125
TIPS,-0.10357941,-0.021012113,0.046019145,19.3467273,-4.4878113,-3.756866265
Intermediate Municipal Bonds,-0.220624205,-0.111428184,0.040634621,17.37602359,-5.487489231,-6.88729
Long Term Treasuries,-0.255244884,-0.176281087,0.091009937,23.73160222,-2.389240032,-4.80005
Intermediate Treasuries,-0.228524693,-0.151025565,0.120476612,20.06199844,-4.628461538,-7.45
Short Term Treasuries,-0.208179978,-0.107891626,0.126547899,18.4286565,-6.558229431,-10.99
Treasury Bills,-0.182473896,-0.080793476,0.092353853,17.72308824,-8.433713965,-12.32891598
US Large Cap Growth,-0.068746603,-0.267788551,-0.191754196,5.410781317,-0.232307692,-0.03
US Mid Cap Growth,0.474933994,0.03549621,-0.237328842,12.6908006,0.059615385,-1.01
US Small Cap Growth,0.378373649,-0.053621711,-0.445272046,11.65057838,-2.143846154,-1.475
US Extended Market,0.483863958,0.037372674,-0.37455621,8.471572658,0.372916667,-0.815
US Microcap,0.340041225,-0.074641322,-0.235252407,19.36698137,2.596538462,-1.505
Wellington,-0.127620919,0.039956025,0.159608355,9.227565668,-0.718076923,-2.05
Wellesley,-0.209450153,-0.038972805,0.152643561,14.29668814,-1.679615385,-4.04
Windsor,0.160232387,0.266065363,0.078793309,10.30909502,1.418076923,1.06
Pacific,0.096723898,0.081588342,0.056231439,26.59476684,-0.896538462,0.93
Europe,0.02092597,0.260336937,0.268243859,14.13964159,0.518076923,-1.25
Precious Metals,0.182758864,0.190367756,-0.06829614,39.20964921,-3.714583333,-12.8
US Corporate Bond,-0.19096341,-0.053980034,0.054332889,16.41164671,-3.276186553,-4.647791791
US Short Term Total Bond,-0.182236337,-0.053732557,0.08985666,16.38064763,-5.890262692,-9.16433
US Junk Bonds,-0.099490653,0.031906526,-0.085654042,12.90027385,-2.902078077,-2.36774
Long Term Municipal,-0.224671889,-0.112677661,0.055930186,17.73086692,-4.63625,-6.775
Short Term Municipal,-0.187685701,-0.149413505,0.042890564,18.54711755,-8.497083333,-11.765
Vanguard Health Care,-0.079346944,-0.101902607,0.025595775,15.98188075,5.051923077,2.64
spdr_Energy,0.549670926,0.449617296,0.129668,12.08148475,-2.055384615,1.15
spdr_Materials,0.259684142,0.198772646,-0.167754239,13.7286955,-1.38,0.95
spdr_Industrials,0.393747842,0.184005245,-0.068918484,7.075675689,0.292307692,-1.55
spdr_Consumer Discretionary,-0.251296634,-0.344023927,-0.368166603,8.6894343,1.877307692,1.05
spdr_Consumer Staples,-0.313006534,-0.103952352,0.250188705,10.80799559,1.666153846,1.975
spdr_Health Care,-0.207836608,-0.137813608,0.110794267,15.70637509,2.047692308,2.4
spdr_Financials,0.165846254,0.138040648,0.140788065,13.59888312,0.533076923,1.31
spdr_Information Technology,0.141492,0.062971482,-0.098874371,19.89851492,3.761923077,-0.45
spdr_Telecom Services,-0.388707294,-0.126925043,0.180331759,12.07416606,-1.443076923,1.885
spdr_Utilities,-0.00105422,0.148220083,0.084841039,18.93480082,-1.885,-5.3
Argentina,0.015662692,0.063226165,-0.093075998,38.38090792,-0.097307692,-7.71
Austria,0.459039466,0.124937997,0.092991768,230.3533562,46.12846154,-2.88
Belgium,-0.188795638,0.090859957,0.1296187,24.24518736,5.076923077,5.63
Chile,0.287782228,0.246921927,-0.240642921,31.13372134,0.10952381,0.1
Germany,-0.006329827,0.11569293,0.267320831,24.15234224,1.139615385,-3.085
Denmark,0.003720152,0.21494839,0.052539661,25.80393876,5.379230769,4.87
East Asia & Pacific,0.129550768,0.129835225,-0.029469575,29.18654155,3.986538462,6.305
Spain,0.06224964,0.107168141,0.275055555,33.67756147,4.887692308,-2.095
France,0.017246381,0.112053264,0.371944582,23.96032137,3.93,-0.295
"Hong Kong SAR, China",0.20985198,0.181886404,-0.066581779,34.40525406,6.348846154,6.155
Indonesia,0.326396104,0.354426368,-0.13105025,66.5930194,21.59333333,8.25
India,-0.167971493,0.141096331,-0.035684897,59.96121101,11.08538462,0.375
Israel,0.071041296,0.036719672,-0.227567448,37.26169091,2.674230769,-2.63
Japan,0.095329085,0.079476496,0.082655212,30.29979682,1.149230769,4.915
Mexico,0.077111284,0.121431134,0.068251105,58.45838799,16.29307692,3.55
New Zealand,0.192272335,0.342046747,0.104537219,32.91498215,2.304615385,8.56
Finland,0.18843063,0.08641176,0.085331971,20.03264275,4.120769231,6.06