,oil,prime,inflation,oil_diff%_rolling_30
12/31/83,3.456947397,11.5,3.790983607,-0.08745364
12/31/84,3.375537635,11,3.948667325,-0.157300971
12/31/85,3.235890255,11.06,3.798670465,-0.201851968
12/31/86,3.304245856,9.5,1.0978957,-0.171656834
12/31/87,2.777327477,7.5,4.43438914,-0.098748963
12/31/92,2.971285881,7.21,2.900652647,-0.158464545
12/31/93,2.965633826,6,2.748414376,-0.239852025
12/31/94,2.674838067,6,2.674897119,-0.019452878
12/31/95,2.842581094,8.5,2.538410154,0.06643169
12/31/96,2.946542029,8.65,3.32247557,0.256489617
12/31/97,3.234355396,8.25,1.702395965,-0.192077102
12/31/98,2.907993359,8.5,1.611903286,-0.322613939
12/31/99,2.423031246,7.75,2.684563758,0.537533234
12/31/00,3.261168737,8.5,3.386809269,0.284207175
12/31/01,3.348499593,9.5,1.551724138,-0.274321483
12/31/02,2.961658293,4.84,2.376910017,0.207714118
12/31/03,3.381674715,4.25,1.879491432,0.2302556
12/31/04,3.470412451,4,3.255561584,0.325197808
12/31/08,4.51884948,7.33,0.091412901,-0.483010611
12/31/09,3.714059753,3.61,2.721331126,-0.037576593
12/31/10,4.308110952,3.25,1.495723527,0.231403403
12/31/11,4.489085707,3.25,2.962418845,0.173307947
12/31/12,4.590766956,3.25,1.741022369,0.024329031
12/31/13,4.480173696,3.25,1.50173562,-0.005552733
12/31/14,4.581184823,3.25,0.75649327,-0.493160928
12/31/15,4.082440658,3.25,0.729519786,-0.575701026