DATE,energy consumption - 1yr percent change
1/1/60,4.55882
4/1/60,6.29575
7/1/60,5.50725
10/1/60,4.54545
1/1/61,2.53165
4/1/61,2.20386
7/1/61,1.37363
10/1/61,0.81522
1/1/62,4.52675
4/1/62,3.2345
7/1/62,4.20054
10/1/62,7.54717
1/1/63,6.95538
4/1/63,3.39426
7/1/63,4.81144
10/1/63,1.00251
1/1/64,1.10429
4/1/64,5.30303
7/1/64,5.95533
10/1/64,6.94789
1/1/65,5.33981
4/1/65,7.55396
7/1/65,6.90867
10/1/65,7.77262
1/1/66,7.48848
4/1/66,7.02341
7/1/66,7.11939
10/1/66,6.99677
1/1/67,6.85959
4/1/67,6.5625
7/1/67,4.70348
10/1/67,5.83501
1/1/68,7.82347
4/1/68,4.69208
7/1/68,7.12891
10/1/68,4.94297
1/1/69,6.04651
4/1/69,8.21662
7/1/69,7.20146
10/1/69,8.96739
1/1/70,7.01754
4/1/70,6.21225
7/1/70,6.63265
10/1/70,6.06816
1/1/71,7.29508
4/1/71,7.22989
7/1/71,6.45933
10/1/71,6.34796
1/1/72,4.88923
4/1/72,5.75758
7/1/72,7.79026
10/1/72,12.96979
1/1/73,13.18281
4/1/73,14.39828
7/1/73,14.3155
10/1/73,12.91585
1/1/74,16.02317
4/1/74,26.54978
7/1/74,28.08511
10/1/74,25.12998
1/1/75,20.46589
4/1/75,12.51856
7/1/75,12.38728
10/1/75,10.20314
1/1/76,12.66114
4/1/76,8.97098
7/1/76,8.91047
10/1/76,16.17093
1/1/77,14.91622
4/1/77,12.63115
7/1/77,12.64056
10/1/77,6.88785
1/1/78,8.14367
4/1/78,10.4622
7/1/78,6.71256
10/1/78,8.60324
1/1/79,13.44952
4/1/79,17.96951
7/1/79,28.22581
10/1/79,31.09661
1/1/80,33.68116
4/1/80,30.13473
7/1/80,20.22642
10/1/80,15.7346
1/1/81,11.55681
4/1/81,12.93049
7/1/81,11.52961
10/1/81,11.17936
1/1/82,7.44412
4/1/82,-0.05613
7/1/82,1.68856
10/1/82,0.42357
1/1/83,-3.1657
4/1/83,4.08087
7/1/83,6.45756
10/1/83,6.34513
1/1/84,6.48235
4/1/84,5.55755
7/1/84,0.05199
10/1/84,0.51733
1/1/85,5.21053
4/1/85,0.90305
7/1/85,3.41244
10/1/85,3.89432
1/1/86,-3.21828
4/1/86,-10.30057
7/1/86,-13.18258
10/1/86,-15.27411
1/1/87,-8.09786
4/1/87,5.17696
7/1/87,9.01023
10/1/87,10.50477
1/1/88,7.5928
4/1/88,3.16807
7/1/88,4.19469
10/1/88,4.0388
1/1/89,5.05315
4/1/89,10.34004
7/1/89,6.09818
10/1/89,9.93389
1/1/90,4.47835
4/1/90,0.61321
7/1/90,8.80564
10/1/90,11.96608
1/1/91,7.79489
4/1/91,6.73543
7/1/91,-0.29429
10/1/91,-7.2855
1/1/92,-1.88513
4/1/92,1.06881
7/1/92,3.27627
10/1/92,6.99643
1/1/93,8.22576
4/1/93,3.5347
7/1/93,4.38697
10/1/93,2.34624
1/1/94,2.38558
4/1/94,3.05023
7/1/94,1.99863
10/1/94,-0.05426
1/1/95,0.39285
4/1/95,3.2315
7/1/95,2.80499
10/1/95,2.17155
1/1/96,7.77223
4/1/96,8.07576
7/1/96,3.57702
10/1/96,9.24548
1/1/97,4.11919
4/1/97,-1.63077
7/1/97,2.40736
10/1/97,1.95768
1/1/98,-6.34921
4/1/98,-3.15477
7/1/98,-3.74154
10/1/98,-11.07931
1/1/99,-4.04468
4/1/99,3.33418
7/1/99,8.92469
10/1/99,15.35676
1/1/00,19.87154
4/1/00,17.51762
7/1/00,15.84693
10/1/00,20.02093
1/1/01,16.33177
4/1/01,7.45845
7/1/01,-0.5877
10/1/01,-14.14318
1/1/02,-18.40514
4/1/02,-7.89036
7/1/02,-1.61044
10/1/02,13.50559
1/1/03,28.56639
4/1/03,9.33149
7/1/03,10.86709
10/1/03,8.27038
1/1/04,5.25979
4/1/04,14.13434
7/1/04,11.67072
10/1/04,18.45391
1/1/05,12.07091
4/1/05,12.87795
7/1/05,27.37846
10/1/05,19.87289
1/1/06,16.46247
4/1/06,19.81438
7/1/06,9.95205
10/1/06,-4.26743
1/1/07,4.27459
4/1/07,4.71692
7/1/07,0.66914
10/1/07,18.51277
1/1/08,17.08065
4/1/08,16.66466
7/1/08,19.25223
10/1/08,-9.20385
1/1/09,-23.30388
4/1/09,-26.27455
7/1/09,-22.89241
10/1/09,2.9877
1/1/10,17.19406
4/1/10,13.17298
7/1/10,7.08016
10/1/10,7.98391
1/1/11,11.20684
4/1/11,18.72606
7/1/11,16.79826
10/1/11,7.22429
1/1/12,1.62593
4/1/12,-2.05027
7/1/12,-1.84746
10/1/12,0.4211
1/1/13,5.14335
4/1/13,0.17532
7/1/13,-0.90431
10/1/13,1.06929
1/1/14,2.12418
4/1/14,3.03882
7/1/14,-0.12733
10/1/14,-6.61757
1/1/15,-18.27
4/1/15,-15.44598
7/1/15,-12.90905
10/1/15,-16.61668
1/1/16,-13.53848
4/1/16,-9.52033
7/1/16,-7.80163
10/1/16,2.45771
1/1/17,10.42242
4/1/17,5.35522
7/1/17,4.65762
10/1/17,10.14106
1/1/18,10.49596