,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials,Information Technology,Telecom Services,Utilities
1976,1.349020767,1.229020767,1.327020767,1.178020767,1.127020767,1.018020767,1.347020767,1.252020767,1.349020767,1.340020767
1977,0.973527157,0.763527157,0.958527157,0.843527157,0.953527157,0.903527157,0.885527157,0.945527157,1.016527157,1.094527157
1978,1.111,1.006,1.092,0.997,1.048,1.085,1.051,1.138,1.054,0.94
1979,1.449,1.32,1.2,1.087,1.04,1.23,1.179,1.05,0.991,1.141
1980,1.739,1.273,1.397,1.175,1.148,1.307,1.169,1.168,1.029,1.164
1981,0.761,0.91,0.875,1.058,1.172,1.031,1.102,0.843,1.344,1.086
1982,0.871,1.089,1.217,1.479,1.369,1.213,1.239,1.535,1.135,1.284
1983,1.246,1.279,1.317,1.208,1.177,1.064,1.172,1.262,1.105,1.183
1984,1.0801,0.9291,0.9921,1.0371,1.1471,1.0641,1.1061,0.9901,1.2051,1.2671
1985,1.1803,1.3033,1.2953,1.3153,1.4293,1.4243,1.4043,1.2323,1.3823,1.2763
1986,1.1636,1.2556,1.1666,1.1986,1.3316,1.2966,1.1016,0.9306,1.2376,1.2556
1987,1.0821,1.2181,1.0211,1.0091,1.1151,1.0611,0.8281,1.1361,1.0461,0.9211
1988,1.2102,1.0982,1.1202,1.2442,1.1942,1.1262,1.1692,0.9722,1.2092,1.1472
1989,1.4006,1.2216,1.2656,1.2106,1.4796,1.4256,1.3306,0.9376,1.6126,1.3756
1990,1.0338,0.8818,0.9328,0.8578,1.1758,1.1398,0.7838,1.0208,0.8458,0.9928
1991,1.5542,1.2472,1.2922,1.2862,1.4802,1.5182,1.4962,1.1222,1.1382,1.2372
1992,1.1272,1.1032,1.0942,1.1952,1.0662,0.8422,1.2322,1.0322,1.1622,1.0832
1993,1.1259,1.1439,1.1949,1.2049,0.9319,0.9399,1.1099,1.1959,1.1479,1.1339
1994,1.0248,1.0518,0.9708,0.9278,1.0568,1.1318,0.9658,1.1968,0.9538,0.8838
1995,1.3025,1.1735,1.3965,1.2205,1.3675,1.5845,1.5365,1.3845,1.4105,1.3135
1996,1.2568,1.1338,1.2478,1.1378,1.2448,1.2208,1.3618,1.4218,1.0068,1.0408
1997,1.2459,1.0779,1.2749,1.2939,1.3669,1.4109,1.4939,1.2789,1.4049,1.2479
1998,1.0252,0.9152,1.0952,1.3312,1.2292,1.4142,1.0912,1.7712,1.5162,1.1442
1999,1.1507,1.3007,1.1907,1.2097,0.9837,0.9067,1.0377,1.7747,1.1967,0.9027
2000,1.2004,0.8214,1.0394,0.7574,1.0564,1.3824,1.2594,0.6154,0.6204,1.5844
2001,0.8898,1.0328,0.9248,1.0448,0.9668,0.8778,0.9098,0.7498,0.8758,0.6778
2002,0.8375,0.9245,0.7415,0.7395,0.9335,0.8075,0.8585,0.6315,0.6615,0.7855
2003,1.26,1.382,1.322,1.353,1.157,1.149,1.32,1.467,1.068,1.24
2004,1.3114,1.1354,1.1864,1.1094,1.0824,1.0184,1.1024,1.0444,1.1914,1.2024
2005,1.3127,1.0457,1.0187,0.9477,1.0337,1.0587,1.0627,0.9967,0.9547,1.1447
2006,1.2414,1.1864,1.1334,1.1844,1.1344,1.0754,1.1964,1.0794,1.3694,1.2174
2007,1.3429,1.2179,1.1169,0.8699,1.1309,1.0709,0.8129,1.1689,1.1139,1.1789
2008,0.6438,0.5438,0.6008,0.6588,0.8598,0.7658,0.4468,0.5628,0.6898,0.7028
2009,1.1409,1.4839,1.2129,1.4239,1.1379,1.1919,1.1609,1.6209,1.0839,1.1159
2010,1.2031,1.2211,1.2641,1.2771,1.1411,1.0261,1.1211,1.1001,1.1891,1.0541
2011,1.0457,0.9007,0.9927,1.0597,1.1387,1.1257,0.8277,1.0227,1.0617,1.1987
2012,1.0442,1.1482,1.1512,1.2372,1.1062,1.1772,1.2862,1.1462,1.1812,1.0112